_date,total_clones,unique_clones
2022-03-16,10,9
2022-03-21,1,1
2022-03-28,3,3
2022-04-02,2,1
2022-04-04,2,2
2022-04-11,1,1
2022-04-18,1,1
2022-04-25,3,2
2022-05-02,1,1
2022-05-09,1,1
2022-05-16,2,2
2022-05-23,2,2
2022-05-30,2,2
2022-06-06,1,1
2022-06-13,1,1
2022-06-20,3,3
2022-06-27,2,2
2022-07-04,1,1
2022-07-11,2,2
2022-07-13,1,1
2022-07-18,2,2
2022-07-25,2,2
2022-07-29,1,1
2022-08-01,1,1
2022-08-02,1,1
2022-08-08,3,2
2022-08-15,3,3
2022-08-22,2,2
2022-08-29,1,1
2022-09-05,2,2
2022-09-12,1,1
2022-09-19,4,4
2022-09-26,1,1
2022-10-03,1,1
2022-10-10,2,2
2022-10-14,1,1
2022-10-17,1,1
2022-10-24,1,1
2022-10-25,2,2
2022-10-31,1,1
2022-11-07,3,3
2022-11-13,1,1
2022-11-14,4,3
2022-11-21,3,3
2022-11-28,2,2
2022-12-01,1,1
2022-12-05,2,2
2022-12-07,2,1
2022-12-12,3,3
2022-12-13,1,1
2022-12-19,3,3
2022-12-23,1,1
2022-12-26,1,1
2022-12-27,2,2
2023-01-02,3,3
2023-01-03,8,4
2023-01-04,5,3
2023-01-08,1,1
2023-01-09,3,3
2023-01-10,1,1
2023-01-11,2,1
2023-01-16,1,1
